split,candidate_model,condition,template_id,rows,qwen_judge_mean,gpt4o_judge_mean,gpt_minus_qwen
abductive,Llama-3.1-8B,A,1,397,0.638287153652393,0.7193954659949623,0.08110831234256932
abductive,Llama-3.1-8B,B,1,397,0.6614609571788413,0.7506297229219143,0.08916876574307298
abductive,Llama-3.1-8B,A,2,397,0.4816120906801008,0.601007556675063,0.1193954659949622
abductive,Llama-3.1-8B,B,2,397,0.5848866498740555,0.6785894206549119,0.09370277078085643
abductive,Llama-3.1-8B,A,3,397,0.6443324937027708,0.6201511335012595,-0.024181360201511293
abductive,Llama-3.1-8B,B,3,397,0.7047858942065491,0.7355163727959698,0.030730478589420684
abductive,Llama-3.1-8B,A,4,397,0.656926952141058,0.636272040302267,-0.02065491183879098
abductive,Llama-3.1-8B,B,4,397,0.7123425692695214,0.7642317380352646,0.05188916876574312
abductive,Llama-3.1-8B,A,5,397,0.5712846347607053,0.6236775818639798,0.05239294710327447
abductive,Llama-3.1-8B,B,5,397,0.6473551637279596,0.729471032745592,0.08211586901763235
abductive,Qwen2.5-7B,A,1,397,0.7778337531486147,0.7551637279596978,-0.02267002518891692
abductive,Qwen2.5-7B,B,1,397,0.792191435768262,0.7793450881612092,-0.012846347607052833
abductive,Qwen2.5-7B,A,2,397,0.717632241813602,0.7476070528967255,0.029974811083123498
abductive,Qwen2.5-7B,B,2,397,0.7928211586901763,0.7869017632241815,-0.005919395465994848
abductive,Qwen2.5-7B,A,3,397,0.6840050377833753,0.6695214105793451,-0.01448362720403018
abductive,Qwen2.5-7B,B,3,397,0.7751889168765743,0.7425692695214106,-0.03261964735516376
abductive,Qwen2.5-7B,A,4,397,0.7216624685138538,0.7062972292191436,-0.015365239294710231
abductive,Qwen2.5-7B,B,4,397,0.77455919395466,0.7884130982367759,0.013853904282115859
abductive,Qwen2.5-7B,A,5,397,0.710705289672544,0.7224181360201511,0.011712846347607164
abductive,Qwen2.5-7B,B,5,397,0.7801007556675063,0.784382871536524,0.004282115869017722
control,Llama-3.1-8B,A,1,30,0.74,0.98,0.24
control,Llama-3.1-8B,B,1,30,0.7533333333333334,0.9933333333333334,0.24
control,Llama-3.1-8B,A,2,30,0.7,1.0,0.30000000000000004
control,Llama-3.1-8B,B,2,30,0.7066666666666667,0.98,0.2733333333333333
control,Llama-3.1-8B,A,3,30,0.8533333333333334,0.9666666666666667,0.11333333333333329
control,Llama-3.1-8B,B,3,30,0.8933333333333333,0.9466666666666667,0.053333333333333344
control,Llama-3.1-8B,A,4,30,0.8333333333333334,0.9333333333333333,0.09999999999999998
control,Llama-3.1-8B,B,4,30,0.8800000000000001,0.9666666666666667,0.08666666666666656
control,Llama-3.1-8B,A,5,30,0.006666666666666667,0.14666666666666667,0.14
control,Llama-3.1-8B,B,5,30,0.0,0.08000000000000002,0.08000000000000002
control,Qwen2.5-7B,A,1,30,1.0,1.0,0.0
control,Qwen2.5-7B,B,1,30,1.0,0.9933333333333334,-0.006666666666666599
control,Qwen2.5-7B,A,2,30,1.0,0.9933333333333334,-0.006666666666666599
control,Qwen2.5-7B,B,2,30,0.9966666666666666,1.0,0.0033333333333334103
control,Qwen2.5-7B,A,3,30,1.0,0.9933333333333334,-0.006666666666666599
control,Qwen2.5-7B,B,3,30,0.98,0.98,0.0
control,Qwen2.5-7B,A,4,30,1.0,0.9866666666666667,-0.013333333333333308
control,Qwen2.5-7B,B,4,30,1.0,0.9933333333333334,-0.006666666666666599
control,Qwen2.5-7B,A,5,30,1.0,1.0,0.0
control,Qwen2.5-7B,B,5,30,1.0,0.9933333333333334,-0.006666666666666599
