split,candidate_model,condition,trajectory_score,count,proportion
abductive,Llama-3.1-8B,A,0.0,8,0.004030226700251889
abductive,Llama-3.1-8B,A,0.2,133,0.06700251889168765
abductive,Llama-3.1-8B,A,0.4,573,0.2886649874055416
abductive,Llama-3.1-8B,A,0.6,241,0.12141057934508816
abductive,Llama-3.1-8B,A,0.8,799,0.4025188916876574
abductive,Llama-3.1-8B,A,1.0,231,0.1163727959697733
abductive,Llama-3.1-8B,B,0.0,1,0.0005037783375314861
abductive,Llama-3.1-8B,B,0.2,74,0.03727959697732997
abductive,Llama-3.1-8B,B,0.4,278,0.14005037783375315
abductive,Llama-3.1-8B,B,0.6,234,0.11788413098236776
abductive,Llama-3.1-8B,B,0.8,1060,0.5340050377833753
abductive,Llama-3.1-8B,B,1.0,338,0.17027707808564232
abductive,Qwen2.5-7B,A,0.0,2,0.0010075566750629723
abductive,Qwen2.5-7B,A,0.2,51,0.025692695214105794
abductive,Qwen2.5-7B,A,0.4,341,0.17178841309823678
abductive,Qwen2.5-7B,A,0.6,240,0.12090680100755667
abductive,Qwen2.5-7B,A,0.8,1060,0.5340050377833753
abductive,Qwen2.5-7B,A,1.0,291,0.14659949622166246
abductive,Qwen2.5-7B,B,0.2,22,0.011083123425692695
abductive,Qwen2.5-7B,B,0.4,173,0.0871536523929471
abductive,Qwen2.5-7B,B,0.6,181,0.09118387909319899
abductive,Qwen2.5-7B,B,0.8,1251,0.6302267002518892
abductive,Qwen2.5-7B,B,1.0,358,0.18035264483627203
control,Llama-3.1-8B,A,0.0,17,0.11333333333333333
control,Llama-3.1-8B,A,0.2,10,0.06666666666666667
control,Llama-3.1-8B,A,0.4,4,0.02666666666666667
control,Llama-3.1-8B,A,0.6,3,0.02
control,Llama-3.1-8B,A,0.8,3,0.02
control,Llama-3.1-8B,A,1.0,113,0.7533333333333333
control,Llama-3.1-8B,B,0.0,18,0.12
control,Llama-3.1-8B,B,0.2,12,0.08
control,Llama-3.1-8B,B,0.4,3,0.02
control,Llama-3.1-8B,B,0.8,8,0.05333333333333334
control,Llama-3.1-8B,B,1.0,109,0.7266666666666667
control,Qwen2.5-7B,A,0.8,4,0.02666666666666667
control,Qwen2.5-7B,A,1.0,146,0.9733333333333334
control,Qwen2.5-7B,B,0.4,1,0.006666666666666667
control,Qwen2.5-7B,B,0.8,3,0.02
control,Qwen2.5-7B,B,1.0,146,0.9733333333333334
