split,candidate_model,condition,is_correct,rows,score_mean,score_sd,high_quality_rate
abductive,Llama-3.1-8B,A,False,839,0.531823599523242,0.22392759519783445,0.3146603098927294
abductive,Llama-3.1-8B,A,True,1146,0.7193717277486911,0.2166637618875515,0.6684118673647469
abductive,Llama-3.1-8B,B,False,726,0.6269972451790634,0.21383478635261724,0.4986225895316804
abductive,Llama-3.1-8B,B,True,1259,0.7920571882446387,0.17760232251352762,0.8228752978554408
abductive,Qwen2.5-7B,A,False,632,0.6218354430379747,0.21236973591425776,0.48417721518987344
abductive,Qwen2.5-7B,A,True,1353,0.766149297856615,0.18318685662248138,0.7723577235772358
abductive,Qwen2.5-7B,B,False,489,0.6944785276073621,0.18013594607040564,0.6584867075664622
abductive,Qwen2.5-7B,B,True,1496,0.8030748663101605,0.1548887951818718,0.8602941176470589
control,Llama-3.1-8B,A,True,135,0.882962962962963,0.28847016471630793,0.8592592592592593
control,Llama-3.1-8B,A,False,15,0.10666666666666667,0.1830950832868254,0.0
control,Llama-3.1-8B,B,True,140,0.8385714285714286,0.3340584781197746,0.8285714285714286
control,Llama-3.1-8B,B,False,10,0.16,0.30983866769659335,0.1
control,Qwen2.5-7B,A,True,150,0.9946666666666666,0.03232940080792641,1.0
control,Qwen2.5-7B,B,True,150,0.9920000000000001,0.05618760521561468,0.9933333333333333
