candidate_model,contrast,outcome,forced_correct_stratum,parse_clean_pairs_only,paired_rows,clusters,estimate,ci_low,ci_high,p_ttest
Llama-3.1-8B,B − A,trajectory_score,all,False,1985,397,0.09158690176322418,0.07792684039532365,0.10524696313112471,3.774918170797224e-33
Llama-3.1-8B,B − A,trajectory_score,false,False,715,143,0.06013986013986015,0.036377870376855366,0.08390184990286492,1.6415145498667722e-06
Llama-3.1-8B,B − A,trajectory_score,true,False,1270,254,0.10929133858267716,0.09293093434640984,0.12565174281894448,1.808637910063724e-30
Llama-3.1-8B,B − A,trajectory_score,all,True,1770,397,0.07598656591099916,0.06254246964345132,0.08943066217854699,3.7486481749075365e-25
Llama-3.1-8B,B − A,is_correct,all,False,1985,397,0.05692695214105794,0.024415544843363307,0.08943835943875257,0.0006380738098107942
Llama-3.1-8B,B − A,is_correct,false,False,715,143,-0.2405594405594405,-0.2793148742173812,-0.2018040069014998,4.760846452384012e-24
Llama-3.1-8B,B − A,is_correct,true,False,1270,254,0.22440944881889763,0.19391393748285893,0.2549049601549363,4.627413239472673e-35
Llama-3.1-8B,B − A,is_correct,all,True,1770,397,0.025566750629722915,-0.006643553905823978,0.057777055165269806,0.11944530946511321
Qwen2.5-7B,B − A,trajectory_score,all,False,1985,397,0.05612090680100756,0.04581997167015736,0.06642184193185775,1.1125248910602484e-23
Qwen2.5-7B,B − A,trajectory_score,false,False,490,98,0.03836734693877551,0.015951824979707516,0.06078286889784351,0.0009887613834266445
Qwen2.5-7B,B − A,trajectory_score,true,False,1495,299,0.061939799331103676,0.050402396939457354,0.07347720172274999,2.2694696140215286e-22
Qwen2.5-7B,B − A,trajectory_score,all,True,1950,397,0.0540302267002519,0.043611882907905464,0.06444857049259833,7.865319290798622e-22
Qwen2.5-7B,B − A,is_correct,all,False,1985,397,0.07204030226700252,0.041806884210953556,0.10227372032305149,3.8633394030351136e-06
Qwen2.5-7B,B − A,is_correct,false,False,490,98,-0.26734693877551025,-0.31515420218736545,-0.21953967536365504,5.797694359625146e-19
Qwen2.5-7B,B − A,is_correct,true,False,1495,299,0.18327759197324414,0.15635463452922915,0.21020054941725913,2.3395601434602003e-32
Qwen2.5-7B,B − A,is_correct,all,True,1950,397,0.06284634760705289,0.03185208988135672,0.09384060533274907,7.989021534486258e-05
Qwen2.5-7B − Llama-3.1-8B,Qwen − Llama in condition A,trajectory_score,not_applicable,True,1769,397,0.05883291351805206,0.04514768547872011,0.07251814155738401,5.550244958642039e-16
Qwen2.5-7B − Llama-3.1-8B,Qwen − Llama in condition A,is_correct,not_applicable,True,1769,397,0.07707808564231738,0.0471438193492171,0.10701235193541767,6.360658954658371e-07
Qwen2.5-7B − Llama-3.1-8B,Qwen − Llama in condition B,trajectory_score,not_applicable,True,1947,397,0.037371956339210755,0.022528059905949856,0.05221585277247165,1.1019080235907455e-06
Qwen2.5-7B − Llama-3.1-8B,Qwen − Llama in condition B,is_correct,not_applicable,True,1947,397,0.11385390428211588,0.06010840548757784,0.1675994030766539,3.8291681686781076e-05
